sentence_id,text,char_len
111,철수이 반도체 공정를 설명했다.,17
112,철수이 모델 출력을 읽었다.,15
113,철수이 모델 출력을 분석했다.,16
114,철수이 모델 출력을 저장했다.,16
115,철수이 모델 출력을 설명했다.,16
116,철수이 모델 출력를 읽었다.,15
117,철수이 모델 출력를 분석했다.,16
118,철수이 모델 출력를 저장했다.,16
119,철수이 모델 출력를 설명했다.,16
120,철수이 로그을 읽었다.,12
121,철수이 로그을 분석했다.,13
122,철수이 로그을 저장했다.,13
123,철수이 로그을 설명했다.,13
124,철수이 로그를 읽었다.,12
125,철수이 로그를 분석했다.,13
126,철수이 로그를 저장했다.,13
127,철수이 로그를 설명했다.,13
128,철수이 보고서을 읽었다.,13
129,철수이 보고서을 분석했다.,14
130,철수이 보고서을 저장했다.,14
131,철수이 보고서을 설명했다.,14
132,철수이 보고서를 읽었다.,13
133,철수이 보고서를 분석했다.,14
134,철수이 보고서를 저장했다.,14
135,철수이 보고서를 설명했다.,14
136,철수이 코드을 읽었다.,12
137,철수이 코드을 분석했다.,13
138,철수이 코드을 저장했다.,13
139,철수이 코드을 설명했다.,13
140,철수이 코드를 읽었다.,12
141,철수이 코드를 분석했다.,13
142,철수이 코드를 저장했다.,13
143,철수이 코드를 설명했다.,13
144,철수가 책을 읽었다.,11
145,철수가 책을 분석했다.,12
146,철수가 책을 저장했다.,12
147,철수가 책을 설명했다.,12
148,철수가 책를 읽었다.,11
149,철수가 책를 분석했다.,12
150,철수가 책를 저장했다.,12
151,철수가 책를 설명했다.,12
152,철수가 논문을 읽었다.,12
153,철수가 논문을 분석했다.,13
154,철수가 논문을 저장했다.,13
155,철수가 논문을 설명했다.,13
156,철수가 논문를 읽었다.,12
157,철수가 논문를 분석했다.,13
158,철수가 논문를 저장했다.,13
159,철수가 논문를 설명했다.,13
160,철수가 데이터을 읽었다.,13
161,철수가 데이터을 분석했다.,14
162,철수가 데이터을 저장했다.,14
163,철수가 데이터을 설명했다.,14
164,철수가 데이터를 읽었다.,13
165,철수가 데이터를 분석했다.,14
166,철수가 데이터를 저장했다.,14
167,철수가 데이터를 설명했다.,14
168,철수가 결과을 읽었다.,12
169,철수가 결과을 분석했다.,13
170,철수가 결과을 저장했다.,13
171,철수가 결과을 설명했다.,13
172,철수가 결과를 읽었다.,12
173,철수가 결과를 분석했다.,13
174,철수가 결과를 저장했다.,13
175,철수가 결과를 설명했다.,13
176,철수가 질문을 읽었다.,12
177,철수가 질문을 분석했다.,13
178,철수가 질문을 저장했다.,13
179,철수가 질문을 설명했다.,13
